INFO 2026-02-08 09:53:33,815 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:00:01,452 log "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-02-08 10:00:01,456 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-02-08 10:00:01,457 log "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-02-08 10:00:01,461 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-02-08 10:00:01,462 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-02-08 10:00:01,475 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:00:01,477 log "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-02-08 10:00:01,546 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:00:01,891 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1112
INFO 2026-02-08 10:05:20,145 autoreload /Users/apple/Documents/Zainussunna Academy/backend/core/models.py changed, reloading.
INFO 2026-02-08 10:05:21,235 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:10:56,456 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:11:06,038 log "GET /admin/ HTTP/1.1" 200 10147
INFO 2026-02-08 10:11:06,119 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,134 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,137 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,150 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,153 log "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,165 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,469 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,480 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:11:06,481 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,103 log "GET /admin/core/achievement/ HTTP/1.1" 200 15854
INFO 2026-02-08 10:11:08,158 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,159 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,162 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,162 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,173 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,173 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,173 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,173 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:08,175 log "GET /static/admin/css/changelists.css HTTP/1.1" 200 7498
INFO 2026-02-08 10:11:08,184 log "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 558
INFO 2026-02-08 10:11:08,186 log "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-02-08 10:11:08,188 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:11:08,222 log "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-02-08 10:11:08,245 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-02-08 10:11:08,245 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-02-08 10:11:08,271 log "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2026-02-08 10:11:12,868 log "GET /admin/core/achievement/53daceeb-9321-4862-85f8-d7f9ec0d6154/change/ HTTP/1.1" 200 15304
INFO 2026-02-08 10:11:12,914 log "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:12,915 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:12,919 log "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:12,919 log "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:12,923 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:11:12,961 log "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-08 10:11:12,962 log "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-08 10:11:13,180 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:12:48,974 log "POST /admin/core/achievement/53daceeb-9321-4862-85f8-d7f9ec0d6154/change/ HTTP/1.1" 302 0
INFO 2026-02-08 10:12:49,002 log "GET /admin/core/achievement/add/ HTTP/1.1" 200 15059
INFO 2026-02-08 10:12:49,062 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:12:49,127 log "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
INFO 2026-02-08 10:14:43,412 log "POST /admin/core/achievement/add/ HTTP/1.1" 302 0
INFO 2026-02-08 10:14:43,436 log "GET /admin/core/achievement/add/ HTTP/1.1" 200 15053
INFO 2026-02-08 10:14:43,493 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,495 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
